Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
NECCLTD,0,0,0,0,0.0,,
NECLIFE,4,0,4,-35131,-35.13,"15.984999656677246, 14.75, 31.350000381469727, 28.399999618530273","11.800000190734863, 10.649999618530273, 21.899999618530273, 21.049999237060547"
NELCAST,2,1,1,57674,57.67,"48.20000076293945, 42.54999923706055","34.95000076293945, 135.64999389648438"
NELCO,4,2,2,124669,124.67,"33.20000076293945, 84.05000305175781, 243.14999389648438, 194.6999969482422","103.55000305175781, 56.95000076293945, 134.89999389648438, 720.0999755859375"
NEOGEN,0,0,0,0,0.0,,
NESCO,2,2,0,128660,128.66,"61.05500030517578, 292.4599914550781","198.0399932861328, 882.7000122070312"
NESTLEIND,1,1,0,63505,63.5,625.4249877929688,1946.7750244140625
NETWEB,0,0,0,0,0.0,,
NETWORK18,4,0,4,-43999,-44.0,"387.48382568359375, 196.20631408691406, 83.64034271240234, 38.0","210.09658813476562, 142.83580017089844, 43.16439437866211, 27.200000762939453"
NEULANDLAB,3,2,1,148763,148.76,"107.03384399414062, 532.5, 1325.5","348.67230224609375, 282.95001220703125, 5466.9501953125"
NEWGEN,1,0,1,-15362,-15.36,112.4749984741211,52.974998474121094
NEXTMEDIA,5,2,3,127899,127.9,"12.899999618530273, 3.299999952316284, 22.25, 7.699999809265137, 6.199999809265137","40.20000076293945, 12.850000381469727, 14.199999809265137, 4.599999904632568, 4.0"
NFL,4,2,2,101168,101.17,"83.19999694824219, 24.5, 28.649999618530273, 25.299999237060547","44.5, 77.5999984741211, 18.350000381469727, 77.25"
NGIL,1,0,1,-11126,-11.13,152.25889587402344,98.61834716796875
NGLFINE,0,0,0,0,0.0,,
NH,1,0,1,-8138,-8.14,307.0,227.35000610351562
NHPC,2,1,1,53252,53.25,"25.299999237060547, 21.200000762939453","18.049999237060547, 64.5999984741211"
NIACL,3,0,3,-32400,-32.4,"189.75, 167.8000030517578, 117.55000305175781","114.19999694824219, 109.44999694824219, 79.80000305175781"
