ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2016-10-01,72.55000305175781,2020-02-01,20.149999618530273,-22157.449054718018,-29962.745056265623,NITCO,22,100
,2017-01-01,62.849998474121094,2020-08-01,19.299999237060547,-20844.89945411682,-33325.17938987652,NITCO,30,100
,2017-12-01,109.75,2022-01-01,30.850000381469727,-21198.449375152588,-19430.29300791506,NITCO,50,100
,2020-03-01,12.300000190734863,2021-12-01,30.850000381469727,45243.45279121399,350724.45061334566,NITCO,50,150
,2018-03-01,83.75,2019-08-01,54.25,-10829.5,-12815.976331360946,NLCINDIA,22,100
,2018-05-01,85.94999694824219,2018-09-01,66.8499984741211,-6927.649467468262,-7962.815479848577,NLCINDIA,22,150
,2018-10-01,81.0999984741211,2018-11-01,80.55000305175781,-184.5,-227.49692166624848,NLCINDIA,22,150
,2018-08-01,77.30000305175781,2019-12-01,57.150001525878906,-7876.401184082031,-10123.908579852005,NLCINDIA,30,100
,2019-02-01,60.75,2020-12-01,55.04999923706055,-3179.8503761291504,-5153.7282606309955,NLCINDIA,50,100
,2015-10-01,24.850000381469727,2016-07-01,23.549999237060547,-1991.54953956604,-8014.283738406332,NOIDATOLL,22,100
,2016-07-01,23.549999237060547,2016-12-01,13.199999809265137,-12730.001214027405,-54870.693083608785,NOIDATOLL,30,100
,2014-06-01,96.75,2020-12-01,100.75,1209.000473022461,1246.392240229341,NRBBEARING,22,100
,2014-06-01,96.75,2021-06-01,140.14999389648438,13701.999053955078,14125.772220572244,NRBBEARING,30,100
,2017-08-01,1170.4000244140625,2021-01-01,927.3499755859375,-6028.7506103515625,-520.1009777314225,NSIL,22,100
,2018-01-01,141.875,2020-02-01,106.55000305175781,-6686.943061828613,-4741.111601075243,NTPC,22,100
,2018-01-01,141.875,2018-12-01,124.20833587646484,-3569.417739868164,-2530.7539931325446,NTPC,22,150
,2018-06-01,133.0416717529297,2020-06-01,95.80000305175781,-8505.000686645508,-6418.868442751326,NTPC,30,100
,2019-06-01,141.35000610351562,2021-08-01,115.94999694824219,-5554.399353027344,-3906.047448825915,NTPC,50,100
