Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
KSB,1,0,1,-8983,-8.98,284.9750061035156,201.85000610351562
KSCL,0,0,0,0,0.0,,
KSL,1,1,0,45240,45.24,103.0999984741211,253.39999389648438
KSOLVES,0,0,0,0,0.0,,
KTKBANK,0,0,0,0,0.0,,
KUANTUM,0,0,0,0,0.0,,
L&TFH,1,1,0,6677,6.68,99.47569274902344,122.26348876953125
LAGNAM,0,0,0,0,0.0,,
LALPATHLAB,1,1,0,20174,20.17,1244.25,2084.699951171875
LAOPALA,1,1,0,1183446,1183.45,5.994999885559082,241.14999389648438
LAURUSLABS,1,1,0,8835,8.83,287.1499938964844,375.25
LAXMIMACH,3,2,1,-6938,-6.94,"2675.949951171875, 2768.0, 5055.5498046875","1646.3499755859375, 3132.699951171875, 5177.5"
LEMONTREE,0,0,0,0,0.0,,
LGBBROSLTD,0,0,0,0,0.0,,
LGBFORGE,1,1,0,0,0.0,4.715363025665283,4.764482021331787
LGHL,0,0,0,0,0.0,,
LIBERTSHOE,0,0,0,0,0.0,,
LICHSGFIN,1,1,0,6912,6.91,436.0,534.9500122070312
LIKHITHA,0,0,0,0,0.0,,
LINC,0,0,0,0,0.0,,
LINCOLN,0,0,0,0,0.0,,
LINDEINDIA,1,0,1,-1921,-1.92,518.7999877929688,485.29998779296875
LODHA,0,0,0,0,0.0,,
LOKESHMACH,1,0,1,-233,-0.23,70.9000015258789,72.4000015258789
LT,1,0,1,-10202,-10.2,912.5111083984375,603.3777465820312
LTIM,0,0,0,0,0.0,,
LTTS,0,0,0,0,0.0,,
LUMAXIND,0,0,0,0,0.0,,
LUMAXTECH,2,1,1,18512,18.51,"28.989999771118164, 74.66999816894531","29.200000762939453, 122.94999694824219"
LUPIN,0,0,0,0,0.0,,
LUXIND,1,0,1,-12409,-12.41,3105.85009765625,1754.449951171875
LXCHEM,0,0,0,0,0.0,,
LYKALABS,1,1,0,9513,9.51,79.5999984741211,106.0999984741211
M&M,0,0,0,0,0.0,,
M&MFIN,0,0,0,0,0.0,,
MAANALU,0,0,0,0,0.0,,
MACPOWER,0,0,0,0,0.0,,
MADRASFERT,1,0,1,-3643,-3.64,21.399999618530273,17.649999618530273
MAGADSUGAR,0,0,0,0,0.0,,
MAGNUM,0,0,0,0,0.0,,
MAHABANK,1,0,1,-12757,-12.76,77.6500015258789,46.04999923706055
MAHAPEXLTD,0,0,0,0,0.0,,
MAHEPC,0,0,0,0,0.0,,
MAHLIFE,1,0,1,-7593,-7.59,181.6999969482422,136.0
MAHLOG,1,0,1,-10058,-10.06,648.1500244140625,403.3500061035156
MAHSCOOTER,0,0,0,0,0.0,,
MAHSEAMLES,2,0,2,-7809,-7.81,"209.0500030517578, 193.77499389648438","159.25, 187.39999389648438"
MAITHANALL,1,0,1,-6006,-6.01,1011.4000244140625,800.0
MANAKCOAT,0,0,0,0,0.0,,
MANAKSIA,1,0,1,-10644,-10.64,84.1500015258789,55.5
MANAKSTEEL,0,0,0,0,0.0,,
MANALIPETC,0,0,0,0,0.0,,
MANAPPURAM,0,0,0,0,0.0,,
MANGCHEFER,1,0,1,-4349,-4.35,42.04999923706055,36.04999923706055
MANGLMCEM,0,0,0,0,0.0,,
MANINDS,1,0,1,-12544,-12.54,133.1999969482422,77.6500015258789
MANINFRA,0,0,0,0,0.0,,
MARALOVER,0,0,0,0,0.0,,
MARATHON,0,0,0,0,0.0,,
MARICO,0,0,0,0,0.0,,
MARINE,0,0,0,0,0.0,,
MARKSANS,1,1,0,134880,134.88,6.25,34.849998474121094
MARUTI,0,0,0,0,0.0,,
MASFIN,0,0,0,0,0.0,,
MASTEK,2,1,1,4411,4.41,"479.6499938964844, 1132.449951171875","341.29998779296875, 1635.5"
MATRIMONY,0,0,0,0,0.0,,
MAWANASUG,1,1,0,71392,71.39,13.399999618530273,45.95000076293945
MAXHEALTH,0,0,0,0,0.0,,
MAXIND,0,0,0,0,0.0,,
MAYURUNIQ,0,0,0,0,0.0,,
MAZDA,0,0,0,0,0.0,,
MAZDOCK,0,0,0,0,0.0,,
MBAPL,0,0,0,0,0.0,,
MBLINFRA,0,0,0,0,0.0,,
MCDOWELL-N,1,1,0,4526,4.53,433.55999755859375,497.69000244140625
MCLEODRUSS,1,1,0,491,0.49,186.0,188.5500030517578
MCX,0,0,0,0,0.0,,
MEGASOFT,1,1,0,32078,32.08,10.727029800415039,22.100000381469727
MENONBE,0,0,0,0,0.0,,
METROPOLIS,0,0,0,0,0.0,,
MFSL,1,0,1,-9815,-9.82,242.10000610351562,161.5
MGEL,0,0,0,0,0.0,,
MGL,0,0,0,0,0.0,,
MHRIL,0,0,0,0,0.0,,
MICEL,1,1,0,4640,4.64,47.79999923706055,55.20000076293945
MIDHANI,0,0,0,0,0.0,,
MINDACORP,0,0,0,0,0.0,,
MINDTECK,0,0,0,0,0.0,,
MIRCELECTR,1,0,1,-16997,-17.0,28.049999237060547,12.5
MIRZAINT,1,0,1,-21706,-21.71,125.8499984741211,34.849998474121094
MITCON,0,0,0,0,0.0,,
MKPL,0,0,0,0,0.0,,
MMFL,3,1,2,-496,-0.5,"71.9000015258789, 112.375, 587.0499877929688","41.54999923706055, 211.5500030517578, 348.29998779296875"
MMP,0,0,0,0,0.0,,
MMTC,1,0,1,-9266,-9.27,50.45000076293945,34.20000076293945
MODIRUBBER,0,0,0,0,0.0,,
MODISONLTD,0,0,0,0,0.0,,
MOIL,0,0,0,0,0.0,,
MOLDTECH,0,0,0,0,0.0,,
MOLDTKPAC,1,1,0,22586,22.59,445.54998779296875,782.5999755859375
MONTECARLO,0,0,0,0,0.0,,
MOREPENLAB,2,1,1,30327,30.33,"7.349999904632568, 65.4000015258789","18.549999237060547, 34.45000076293945"
